Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,1296.85,1299.50,1285.30,1292.15,1290.075083283505594943,58535,5158,75514545.00,26474,45.23,14.20,-4.70
12-February-2020,1289.90,1299.75,1280.50,1296.85,1291.475382206974652766,150115,5995,193869827.00,54822,36.52,19.25,6.95
11-February-2020,1289.00,1299.00,1283.75,1286.95,1291.588928596454347978,71355,3957,92161328.00,27564,38.63,15.25,-2.05
10-February-2020,1300.00,1301.30,1273.45,1285.35,1285.067730200674288037,142669,8248,183339328.00,69402,48.65,27.85,-14.65
7-February-2020,1315.75,1315.80,1296.00,1298.85,1302.261256315887967063,80155,4636,104382751.00,43328,54.06,19.80,-16.90
6-February-2020,1320.00,1325.00,1309.50,1317.35,1317.362715817618113035,70314,4211,92629042.00,30375,43.20,15.50,-2.65
5-February-2020,1299.85,1325.00,1296.00,1311.85,1313.676741335290489315,128077,5553,168251776.00,48566,37.92,29.00,12.00
4-February-2020,1296.40,1307.00,1287.65,1291.60,1297.119043917740169204,289473,11893,375480941.00,188515,65.12,19.35,-4.80
3-February-2020,1299.55,1303.95,1272.50,1286.70,1286.837395691109561974,242429,15459,311966703.00,143273,59.10,31.45,-12.85
1-February-2020,1374.00,1383.85,1280.10,1287.25,1326.239251836231968169,620292,31955,822655598.00,228780,36.88,103.75,-86.75
31-January-2020,1375.10,1376.25,1360.00,1369.10,1370.113503249273484260,155881,6590,213574663.00,39934,25.62,16.25,-6.00
30-January-2020,1365.55,1376.35,1353.10,1371.25,1363.955903541366497307,79122,4135,107918919.00,25018,31.62,23.25,5.70
29-January-2020,1353.00,1374.90,1352.00,1365.45,1366.564398497971208922,152061,9952,207801149.00,44414,29.21,22.90,12.45
28-January-2020,1350.10,1355.40,1338.35,1347.00,1345.490248005982053838,64192,4973,86369710.00,23276,36.26,17.05,-3.10
27-January-2020,1350.00,1364.85,1343.00,1348.50,1355.518164411209149481,77294,4140,104773421.00,26157,33.84,21.85,-1.50
24-January-2020,1333.00,1368.00,1331.55,1359.80,1354.635849304135827438,182938,9604,247814373.00,83262,45.51,36.45,26.80
23-January-2020,1302.00,1339.50,1302.00,1332.80,1330.539483136721113127,740544,24285,985323031.00,548136,74.02,37.50,30.80
22-January-2020,1310.00,1310.65,1292.40,1294.25,1299.815002763402502135,99515,4929,129351090.00,44012,44.23,18.25,-15.75
21-January-2020,1307.45,1313.60,1301.00,1302.60,1306.439270652054622705,63783,3701,83328616.00,32432,50.85,12.60,-4.85
20-January-2020,1311.05,1319.45,1306.00,1309.60,1312.567405657099172979,71945,5767,94432662.00,32174,44.72,13.45,-1.45
17-January-2020,1325.00,1325.75,1302.00,1304.55,1311.554764173581598514,143771,9412,188563540.00,90778,63.14,23.75,-20.45
16-January-2020,1325.05,1332.40,1317.15,1319.05,1323.704619700633063250,54181,4249,71719640.00,28479,52.56,15.25,-6.00
15-January-2020,1326.70,1336.00,1319.80,1323.65,1327.027177747169684550,59534,3054,79003236.00,18569,31.19,16.20,-3.05
14-January-2020,1332.50,1332.50,1315.80,1326.00,1323.621564837381292545,59495,3633,78748865.00,22396,37.64,16.70,-6.50
13-January-2020,1332.00,1339.90,1329.65,1334.35,1335.247821635763849391,43955,3666,58690818.00,20338,46.27,10.25,2.35
10-January-2020,1317.00,1335.20,1317.00,1324.05,1327.557888807377908195,76336,5350,101340459.00,30710,40.23,18.20,7.05
9-January-2020,1311.80,1319.90,1307.00,1315.90,1311.717328955025355391,144348,6284,189343773.00,85172,59.00,12.90,4.10
8-January-2020,1308.00,1308.00,1283.60,1291.35,1293.622482450145989936,160970,9382,208234411.00,65387,40.62,24.40,-16.65
7-January-2020,1326.00,1339.00,1313.75,1320.25,1325.379739100069839369,80184,4468,106274249.00,23468,29.27,25.25,-5.75
6-January-2020,1335.00,1335.00,1314.00,1316.30,1320.731012890187331804,95499,4805,126128491.00,39002,40.84,21.00,-18.70
3-January-2020,1344.80,1344.80,1330.35,1335.15,1336.212029652531356497,56926,3061,76065206.00,22475,39.48,14.45,-9.65
2-January-2020,1310.30,1347.70,1310.30,1345.00,1334.162140543399219937,151270,6449,201818707.00,61674,40.77,37.40,34.70
1-January-2020,1310.00,1318.45,1303.35,1310.10,1309.952725674470312964,154714,6663,202668026.00,73934,47.79,15.10,0.10
31-December-2019,1302.00,1310.20,1291.30,1298.95,1300.120391618482628693,99791,4841,129740314.00,47596,47.70,18.90,-3.05
30-December-2019,1303.80,1307.00,1297.00,1302.00,1302.084627926292798474,65014,3741,84653730.00,20916,32.17,10.00,-1.80
27-December-2019,1283.35,1301.75,1280.45,1299.65,1294.886830742172967000,88699,5337,114855167.00,32108,36.20,21.30,16.30
26-December-2019,1301.50,1307.10,1277.00,1279.25,1287.380017476490913026,124739,6993,160586496.00,70584,56.59,30.10,-22.25
24-December-2019,1315.00,1319.15,1297.80,1301.65,1308.381574852163087457,89964,3619,117707240.00,36119,40.15,21.35,-13.35
23-December-2019,1312.00,1321.80,1306.30,1311.25,1314.053534725873524210,83684,3324,109965256.00,25995,31.06,15.50,-0.75
20-December-2019,1312.00,1328.00,1308.00,1312.25,1319.717733491707359992,113655,4842,149992519.00,40478,35.61,20.00,0.25
19-December-2019,1317.00,1320.55,1307.05,1312.40,1314.219675857030763819,73918,2967,97144490.00,18723,25.33,13.50,-4.60
18-December-2019,1324.95,1325.85,1315.00,1319.15,1318.997506134642056972,74984,2967,98903709.00,25764,34.36,10.85,-5.80
17-December-2019,1310.70,1324.90,1303.90,1317.70,1315.807096537379175333,163460,6199,215081828.00,38863,23.78,21.00,7.00
16-December-2019,1313.00,1317.90,1300.45,1303.40,1309.259944517402419787,128689,7916,168487353.00,46608,36.22,17.45,-9.60
13-December-2019,1289.00,1308.00,1285.65,1305.20,1298.360284624200310446,137866,6455,178999739.00,44543,32.31,22.35,16.20
12-December-2019,1271.50,1282.60,1268.55,1279.20,1275.767292282543101801,130911,4437,167011972.00,59643,45.56,14.05,7.70
11-December-2019,1285.90,1288.00,1255.60,1263.60,1265.696830005525280868,184606,8162,233655229.00,73459,39.79,32.40,-22.30
10-December-2019,1279.45,1284.80,1268.00,1279.10,1276.563244870377196215,97668,5671,124679379.00,32388,33.16,16.80,-0.35
9-December-2019,1296.45,1299.00,1272.55,1276.90,1285.493810088239167654,121488,6496,156172072.00,52673,43.36,26.45,-19.55
6-December-2019,1310.00,1310.00,1283.40,1290.30,1292.751089697624016049,124117,6992,160452387.00,52182,42.04,26.60,-19.70
5-December-2019,1290.70,1312.90,1285.95,1301.65,1298.953165768352247591,221526,12054,287751899.00,89004,40.18,26.95,10.95
4-December-2019,1311.00,1312.90,1282.55,1285.20,1288.574545409556683461,646626,15693,833225804.00,242054,37.43,30.35,-25.80
3-December-2019,1336.10,1336.10,1310.20,1313.55,1319.408053636733035351,123050,5963,162353161.00,61789,50.21,25.90,-22.55
2-December-2019,1331.00,1342.40,1320.65,1332.65,1332.721446303291958985,138975,5346,185214963.00,43594,31.37,21.75,1.65
29-November-2019,1345.10,1350.00,1328.20,1330.60,1334.116505759992537661,107205,5853,143023960.00,48163,44.93,21.80,-14.50
28-November-2019,1345.35,1353.60,1327.90,1349.85,1340.438518856881834013,140108,6691,187806160.00,46313,33.06,25.70,4.50
27-November-2019,1368.00,1370.00,1315.05,1334.90,1334.271444691599815822,308398,15977,411486645.00,133512,43.29,54.95,-33.10
26-November-2019,1379.80,1379.80,1360.00,1362.90,1368.270549097297499345,133765,5929,183026710.00,67116,50.17,19.80,-16.90
25-November-2019,1382.00,1389.00,1370.50,1380.00,1374.075039550633698917,675084,5292,927616074.00,425641,63.05,18.50,-2.00
22-November-2019,1395.00,1398.55,1371.00,1378.55,1381.094746079069549987,278059,4498,384025824.00,205663,73.96,27.55,-16.45
21-November-2019,1404.00,1417.50,1386.20,1393.00,1403.026581585573749980,319695,11203,448540583.00,93262,29.17,31.30,-11.00
20-November-2019,1368.80,1393.00,1366.00,1380.65,1374.701638512163904480,638323,8780,877503674.00,451299,70.70,27.00,11.85
19-November-2019,1367.30,1378.25,1362.00,1365.35,1369.003713368125250903,129532,3548,177329789.00,50507,38.99,16.25,-1.95
18-November-2019,1393.00,1395.00,1362.00,1366.55,1376.581109676000989309,181945,4872,250462050.00,110471,60.72,33.00,-26.45
15-November-2019,1384.50,1393.15,1366.60,1377.50,1377.730137831036149397,120002,5201,165330372.00,45616,38.01,26.55,-7.00
14-November-2019,1395.70,1405.60,1377.00,1381.05,1390.046857682734061301,110078,5690,153013578.00,46917,42.62,28.60,-14.65
13-November-2019,1420.00,1420.00,1389.00,1392.95,1400.370517169759069509,115552,6533,161815614.00,62802,54.35,31.00,-27.05
11-November-2019,1422.70,1431.00,1407.50,1416.90,1413.884483012347320000,210653,5862,297839008.00,147266,69.91,23.50,-5.80
8-November-2019,1433.40,1447.95,1419.65,1423.05,1430.844265217938498972,95348,4391,136428139.00,33580,35.22,28.30,-10.35
7-November-2019,1454.00,1458.60,1431.10,1435.40,1438.898772919205373083,70574,3330,101548842.00,33534,47.52,27.50,-18.60
6-November-2019,1444.25,1466.95,1438.40,1452.85,1456.708255210828121364,146138,4905,212880431.00,73205,50.09,28.55,8.60
5-November-2019,1451.20,1459.25,1432.00,1439.55,1442.331333019920171824,108483,5836,156468430.00,52944,48.80,27.25,-11.65
4-November-2019,1453.10,1467.85,1450.05,1452.35,1457.196221735959153902,68550,3292,99890801.00,26562,38.75,17.80,-0.75
1-November-2019,1473.00,1481.00,1445.40,1452.20,1464.362774754862938647,106777,5403,156360264.00,45748,42.84,35.60,-20.80
31-October-2019,1482.25,1486.60,1467.75,1473.40,1477.000247434494973172,76788,2908,113415895.00,31895,41.54,18.85,-8.85
30-October-2019,1468.05,1491.15,1466.80,1474.65,1478.276850431872316821,214531,6067,317136211.00,126619,59.02,24.35,6.60
29-October-2019,1437.40,1464.50,1431.20,1460.55,1453.895644036760840808,173119,6282,251696960.00,99479,57.46,33.30,23.15
27-October-2019,1438.80,1438.80,1429.25,1434.65,1434.678782976280562586,38323,2743,54981195.00,28711,74.92,9.55,-4.15
25-October-2019,1436.00,1442.00,1421.00,1424.70,1429.328557566636302427,100996,3971,144356467.00,42541,42.12,21.00,-11.30
24-October-2019,1459.00,1466.00,1426.80,1431.90,1443.749097325912854621,184175,8069,265902490.00,74856,40.64,39.20,-27.10
23-October-2019,1447.00,1448.15,1418.45,1430.95,1431.287927671346668743,134829,5292,192979120.00,52944,39.27,29.70,-16.05
22-October-2019,1448.05,1466.95,1438.65,1441.90,1455.187140898406894750,122528,4681,178301170.00,52871,43.15,28.30,-6.15
18-October-2019,1428.00,1456.50,1425.80,1448.05,1447.074832663989290495,126990,6307,183764033.00,39559,31.15,30.70,20.05
